file	md5sum	size
rse_fc_DRP000425.rda	27fd582435f944844096cb17e830cb73	41099
rse_fc_DRP000464.rda	b6a51557edb5c887c342850afbeb0eef	41151
rse_fc_DRP000499.rda	858f8ffa5d7c9f1716d9fddc22301f5c	44986
rse_fc_DRP000527.rda	5e5805d85720a3b9347c30d8d3fcdd13	41290
rse_fc_DRP000622.rda	c33d169b6fff74abd8b7ccc40afdfe5c	41270
rse_fc_DRP000665.rda	f9eb688b144fdef0a66cd8d7107e4c51	41715
rse_fc_DRP000929.rda	5f9388974497acb243bea4859e3d7c16	41036
rse_fc_DRP000987.rda	1d421c1d896f2dc5d540c4b428dd4827	57966
rse_fc_DRP001048.rda	05c9dc6bc8065adcfc0603a0d1c4f09d	41275
rse_fc_DRP001055.rda	26ba7f71fc515c8178b30309b4a4741f	41163
rse_fc_DRP001149.rda	4094f6d519770ce03d3eb5779a48584d	41908
rse_fc_DRP001150.rda	c64d43e56a4924f019a3528329e1f4a9	44250
rse_fc_DRP001194.rda	209aa174735cbd1728ab58532f53e741	41284
rse_fc_DRP001280.rda	4e673f7af570ea1653598996c41f3f48	41660
rse_fc_DRP001358.rda	c800d0fea5b7224b158c3307288ce493	77002
rse_fc_DRP001797.rda	d29191c71f37e09df1017840cd294128	68140
rse_fc_DRP001919.rda	b81966082133cf99cbb13d262623f806	45748
rse_fc_DRP002435.rda	b6124acbbd5bbf90ae2ff471cc1fc826	65094
rse_fc_DRP002586.rda	38f94865851ddc87553f6a85b2c01cb3	63117
rse_fc_DRP002623.rda	1ea64897201606b50fcf3c6467e0c530	42059
rse_fc_DRP002625.rda	d996acb69517dc03c9f7db9e7f268413	40980
rse_fc_DRP002667.rda	93857f0113d4f07d37e41133510f4027	40981
rse_fc_DRP002672.rda	b07585273d1290de50791815112d09e6	40888
rse_fc_DRP002835.rda	b75c34e2b63779c7c2ec512c0171e92a	40787
rse_fc_DRP002851.rda	0b4e99130181b421a0a6b2ef657226c1	41757
rse_fc_DRP002860.rda	bc5594589958f85e259ffe987c09d09b	43146
rse_fc_ERP000546.rda	3e2032a34b1678b86668aefee11bccf6	50062
rse_fc_ERP000573.rda	081e4579026dd67f1f4f0c82f6ce5948	41947
rse_fc_ERP000619.rda	c4bf93bb77f4c8faebb608ddd9428dfb	41158
rse_fc_ERP000710.rda	5d6d9c49ec0eca06ded6286bc0ec6ea1	42589
rse_fc_ERP000787.rda	abd67a351ad0e8b5dd424359caa46ad9	40872
rse_fc_ERP000959.rda	9cb8f25cf6275bda8dacab5c5841a643	40849
rse_fc_ERP000992.rda	949b5ae3519639fb820f754a83240814	42341
rse_fc_ERP001304.rda	20e9b4624b945240adb0c8b15084fb96	43553
rse_fc_ERP001317.rda	d575b6dd0a8ea988ae5e9094985def82	42483
rse_fc_ERP001344.rda	22429e3a8db75245e5b8d746e7001126	47880
rse_fc_ERP001458.rda	9c030454be54d12890a9fa69d22ff894	41654
rse_fc_ERP001574.rda	644edad1d2011ba9c1f00f67e389026d	40969
rse_fc_ERP001782.rda	611bde4f1e22d06049f269b42c828cc7	40969
rse_fc_ERP001828.rda	bb99cbea1a8ca41a4a68bf12b0339c6a	41814
rse_fc_ERP001895.rda	b69a0a74d3bccfc35b30731b10a3354c	40916
rse_fc_ERP001908.rda	96a1f67172661c77ce59c3b171fdce86	43682
rse_fc_ERP001942.rda	bafe5ebfa53f213fd8b0a0927453de09	138203
rse_fc_ERP001948.rda	7f7c5c993dab4b7bfa0dffc6111119be	41225
rse_fc_ERP001971.rda	678702c3281398ba984653e4585b963a	41710
rse_fc_ERP002021.rda	a51563576aac76d28050e5aa091580e9	42384
rse_fc_ERP002045.rda	334ca3ea5e083d4ca8e82afeb70ed4e7	45806
rse_fc_ERP002049.rda	4572e610a421621f40f6d9020cb833d4	41869
rse_fc_ERP002063.rda	3dce993ba06fda1b807fa711b13a0a2d	43168
rse_fc_ERP002075.rda	ffe6bbf9cade1efa0be9aebbce33c139	41447
rse_fc_ERP002232.rda	f6306e8f8bcb89e2ffc083e9e64b590c	41055
rse_fc_ERP002414.rda	a480b061195a8f6262e71c099bcd04d3	40713
rse_fc_ERP002588.rda	45093402ebe5a6d602a13876e098dbf2	41507
rse_fc_ERP003259.rda	187dee32992f6e915f992d77a667cd37	42482
rse_fc_ERP003460.rda	ff139da0451587de68d19012b896d9dd	42817
rse_fc_ERP003467.rda	3d69fc2463be51d1a19bb6c85757b152	43301
rse_fc_ERP003471.rda	c8e23c9f35c6217e60b28dbc0d5ff375	41225
rse_fc_ERP003495.rda	09c8dca1c21f5aca8e29acf5139efdde	41656
rse_fc_ERP003536.rda	5f8c47bba4a8f2d48af18b3c3e1039e0	43682
rse_fc_ERP003613.rda	f5c745bf37ef41d32bcc907554039f7f	65902
rse_fc_ERP003789.rda	69fd4b5914d6617c58d7717e2d7e2648	41070
rse_fc_ERP003791.rda	168da3cdd810276f1dc41c72d6e39403	45126
rse_fc_ERP003815.rda	5727aa790ef7d829cd12a6a0c1e044d3	40952
rse_fc_ERP003917.rda	a5424240839299f31c126dd356a50953	51980
rse_fc_ERP003933.rda	e798616b8ab52c111d4366c6c6eb422a	44683
rse_fc_ERP003984.rda	fd39e39e6e33536e5dda93619a6a5a38	40886
rse_fc_ERP004006.rda	8be90d399fbf4818dda2d5c812f6759f	41992
rse_fc_ERP004043.rda	f849c4ad995eef7b223bc7270dda59f0	49483
rse_fc_ERP004062.rda	01832fa00b6d987c74782ce26f277576	40741
rse_fc_ERP004078.rda	887df6db0505e2bcc4fd42b87701edf8	42762
rse_fc_ERP004094.rda	c83211e9e76290ee2794cc97ee5d4e19	46257
rse_fc_ERP004151.rda	bfb269787f4268387ca72bd3edce68e6	41363
rse_fc_ERP004209.rda	506fedabdf98d7636788ec3835861904	40713
rse_fc_ERP004211.rda	ba444fc08368fda2138cbe2ff34ff01a	41535
rse_fc_ERP004219.rda	349c12f57ff347a52895ef10c877e386	42414
rse_fc_ERP004269.rda	711a959377e3e8122a824a54fac982fe	42453
rse_fc_ERP004270.rda	281e523ef03f454de42617ccf28081a2	40915
rse_fc_ERP004298.rda	75c64bed402b9e1ad01c8fdabf3a3593	41179
rse_fc_ERP004352.rda	2b4e233200d6bb5dd18c2e5178af1066	40713
rse_fc_ERP004375.rda	3fb25824bd62abb4ccb2a9c34c5957a0	51871
rse_fc_ERP004399.rda	1734075f52939b0da060c644fca26e49	40757
rse_fc_ERP004402.rda	95f4f3e6ce14097ea6294b0662f11b5d	41373
rse_fc_ERP004573.rda	1144d427e697d3cff2a9bd5e7db00cff	41495
rse_fc_ERP004578.rda	e624e71dbb9a86246a14fc70f4ec9c2b	41026
rse_fc_ERP004592.rda	a1c8b052e7c1608524e478735c7c038c	42401
rse_fc_ERP004617.rda	4b441e85ab7d4a13599e47412c88ae33	41784
rse_fc_ERP004682.rda	448ec20babc0f36071022fd7fb8e80fa	41355
rse_fc_ERP004683.rda	b349ad3e2ff4ea1e2cfd636597fb163d	40849
rse_fc_ERP004684.rda	5f084481ba1391f1343cdc49639df24d	41267
rse_fc_ERP004697.rda	6b941656f32c0845a290db9bb9bbdebe	42122
rse_fc_ERP005189.rda	302d924d741cdf50fe55ef447726a391	41580
rse_fc_ERP005274.rda	f04dad9c866170e810415d1371638cb3	40672
rse_fc_ERP005301.rda	1bd650ea9683ebb464613dcb84415dad	42024
rse_fc_ERP005426.rda	710cefbefc2be00a6e02c9bb03055a92	41429
rse_fc_ERP005583.rda	2d5f077416e47f82c11817d29c9cac5e	41053
rse_fc_ERP005641.rda	0b96f693ddba324daf26dcc6ef453490	58250
rse_fc_ERP005938.rda	050ae3dc8ede4420eeab0e6900cf621f	52843
rse_fc_ERP005953.rda	98c482b7bbe071bceadbc3e5e506797e	43178
rse_fc_ERP006028.rda	0e6166739f95cdeb160fcd083317ffda	41564
rse_fc_ERP006077.rda	b5162c84feea8488101b3b0063506fe4	64358
rse_fc_ERP006097.rda	5fa2c0ddaf2ee9d010e26c9bc3675b3b	40916
rse_fc_ERP006185.rda	7fc48c4450d2c3b8ee5725cc459b6e9e	41960
rse_fc_ERP006200.rda	cefedd27d858d7deec14b30968b1fbd5	43689
rse_fc_ERP006215.rda	ab50916369b0250ebe71d64092f36cd4	45675
rse_fc_ERP006216.rda	967ac7ea86f5be78e065589353fd271f	45360
rse_fc_ERP006368.rda	3e3c70ba739a6a814d933f163ec8e252	41443
rse_fc_ERP006533.rda	85aaef25677262fb10e0977d0040da41	41671
rse_fc_ERP006538.rda	dff09d25a4d28fcc9436884fa8561c20	43101
rse_fc_ERP006577.rda	4fa3edf528ab4b914befcfe04780f5e6	42206
rse_fc_ERP006650.rda	88242531a15463bc4b1a2e9f79f42288	45676
rse_fc_ERP006662.rda	81d73e355306ceb30fd7304d49d0aba0	44071
rse_fc_ERP006686.rda	cfa4e63215e6f31bfa61b6c875f9bfd7	42381
rse_fc_ERP006696.rda	4410b58bd6a6e1f6dbf74e8e958fbb23	42128
rse_fc_ERP006823.rda	26cb12c10659c5ab66591c841ed99d15	41998
rse_fc_ERP006872.rda	3bbebfed2439cc5957b14f01eefde761	40816
rse_fc_ERP006964.rda	e50fb6175e41145b3352df94634fafc2	41440
